community,name,description,youtube_url
Village of Waxhaw,Copeland,"Three-story townhome with a lower-level game room and two-car garage. The main level opens up to a sprawling family room, dining room, and chef-ready kitchen with a deck. The top floor holds two secondary bedrooms and the owner's suite. 3 bed / 3.5 bath, approx. 2,408-2,512 sq ft.",
Village of Waxhaw,Beswick,"Three-story townhome with a lower-level game room and two-car garage. Upstairs offers an open floorplan connecting the family room, kitchen, and breakfast room with deck access. All three bedrooms, including the owner's suite, sit on the top floor. 3-4 bed / 3.5 bath, approx. 2,423-2,431 sq ft.",
Village of Waxhaw,Aynsley,"Three-story townhome with a lower-level bonus room and two-car garage. Upstairs, an open-plan layout connects the kitchen, breakfast room, and family room with a deck. All three bedrooms, including the owner's suite, are on the top floor. 3 bed / 3.5 bath, approx. 2,408-2,511 sq ft.",
Wood Stork Landing,Litchfield II,"Single-story home in the Arbor Collection with a formal dining room and an open-concept family room, kitchen, and breakfast room leading out to a covered patio. Three bedrooms total, including the owner's suite, with an optional second floor adding a fourth bedroom and bonus room. 3 bed / 2 bath, approx. 1,742-1,748 sq ft.",
Wood Stork Landing,Savannah,"Two-story home in the American Dream Series with an open-concept family room and kitchen on the main level and backyard access. All three bedrooms, including the owner's suite with an en-suite bathroom and walk-in closet, are located upstairs. 3 bed / 2.5 bath, approx. 1,616 sq ft.",
Wood Stork Landing,Kensington,"Spacious two-story home in the Arbor Collection with a formal dining room and open-concept living area, plus a main-floor owner's suite set apart from the rest of the bedrooms. Upstairs holds four more bedrooms, including a guest suite that can double as a common area. 5 bed / 3.5 bath, approx. 2,449 sq ft.",
Wood Stork Landing,Wilmington,"Two-story home in the American Dream Series with an open first-floor layout and patio access, plus a bedroom and full bathroom near the entry. Upstairs, three additional bedrooms surround a versatile loft, including the owner's suite with a walk-in closet and en-suite bathroom. 4 bed / 3 bath, approx. 1,835 sq ft.",
Annandale,Clayton III,"Single-story home in the Summit Collection with an open layout among the kitchen, dining space, and family room, plus patio access. Three bedrooms total, including the owner's suite, with an optional second floor for even more room. 3 bed / 2 bath, approx. 1,845 sq ft.",
Annandale,Mayflower III,"Two-story home in the Summit Collection with an open main level connecting the family room, kitchen, and dining room, plus a private study, a guest bedroom, and patio access. Upstairs bedrooms all have walk-in closets, along with a versatile loft. 4 bed / 3 bath, approx. 2,472 sq ft.",
Annandale,Landrum III,"Two-story home in the Summit Collection with an open first floor connecting the family room, breakfast nook, and kitchen, plus a formal dining room, a guest bedroom, and a back patio. Upstairs holds a game room and four bedrooms, including the owner's suite with a spa-style bathroom. 5 bed / 3 bath, approx. 2,619 sq ft.",
Annandale,Tyler,"Two-story home in the Highland Collection with a first floor featuring a family room, chef-ready kitchen, breakfast nook with patio access, a study, formal dining room, and a guest bedroom. Upstairs holds a sprawling owner's suite, three secondary bedrooms, and a spacious game room. 5 bed / 4 bath, approx. 3,006 sq ft.",
Bakers Creek,Crane II,"Two-story home in the Dream Modern collection with an open first floor connecting the family room, kitchen, and breakfast room, plus a two-car garage. Upstairs holds a versatile loft and four bedrooms, including a large owner's suite. 4 bed / 2.5 bath, approx. 1,956 sq ft.",
Bakers Creek,Dickenson II,"Two-story home in the Dream Modern collection with an open-concept first floor connecting the family room, breakfast room, and kitchen. Upstairs balances shared and private space with a centrally located loft and five bedrooms, including the owner's suite, three with walk-in closets. 5 bed / 2.5 bath, approx. 2,213 sq ft.",
Bakers Creek,Emerson II,"Two-story home in the Dream Modern collection with an airy first floor featuring a kitchen with a large center island, breakfast room, and family room, plus an owner's suite on the main level for added privacy. Upstairs holds a versatile loft and four secondary bedrooms, three with walk-in closets. 5 bed / 2.5 bath, approx. 2,307 sq ft.",
Bakers Creek,Frost II,"Two-story home in the Dream Modern collection with an open first floor connecting the family room, kitchen, and breakfast room, plus a secluded secondary bedroom and a two-car garage. Upstairs holds a versatile bonus room and four bedrooms, including the owner's suite. 5 bed / 3 bath, approx. 2,578 sq ft.",
Caitlin Crossing,Chadwick,"Two-story home in the Hanover Collection with an open-concept first floor connecting the kitchen, living, and dining areas, plus a nearby patio. All three bedrooms are upstairs, including a lavish owner's suite with a full bathroom and walk-in closet, around a versatile loft. 3 bed / 2.5 bath, approx. 1,924 sq ft.",
Caitlin Crossing,Oakley II,"Two-story home in the Hanover Collection with an open-concept main floor connecting the Great Room, dining area, and kitchen, leading to a patio. Upstairs holds a versatile loft, two secondary bedrooms, and an owner's suite with a luxe bathroom and walk-in closet, plus a two-car garage. 3 bed / 2.5 bath, approx. 1,995 sq ft.",
Caitlin Crossing,Davidson,"Two-story home in the Hanover Collection with a main floor featuring a Great Room, dining room, kitchen, a secluded guest bedroom, and a patio. Upstairs holds a versatile loft and three bedrooms, including the owner's suite with a private bathroom and large walk-in closet. 4 bed / 3 bath, approx. 2,132 sq ft.",
